From	To
Q15642	TRIP10
O75396	SEC22B
Q9BSE5	AGMAT
P51649	ALDH5A1
Q99471	PFDN5
P10768	ESD
Q6NUM9	RETSAT
Q9H9P8	L2HGDH
Q9NXA8	SIRT5
Q8N5G0	SMIM20
P49321	NASP
P01877	IGHA2
P09467	FBP1
Q16822	PCK2
Q9H0R4	HDHD2
Q9UDX5	MTFP1
O43488	AKR7A2
P37108	SRP14
Q08379	GOLGA2
Q08AM6	VAC14
O15382	BCAT2
O43598	DNPH1
Q01105	SET
Q9Y547	HSPB11
P01024	C3
P12268	IMPDH2
P27824	CANX
Q15262	PTPRK
Q12768	WASHC5
P49821	NDUFV1
Q9H2G2	SLK
P40925	MDH1
O95777	LSM8
P04843	RPN1
Q8IXI1	RHOT2
Q9BS40	LXN
P22695	UQCRC2
Q9HB07	MYG1
Q9Y6M1	IGF2BP2
Q9UJU6	DBNL
P62263	RPS14
Q9H0A0	NAT10
Q14192	FHL2
O75911	DHRS3
P31946	YWHAB
P50416	CPT1A
Q5T3F8	TMEM63B
P05141	SLC25A5
P30566	ADSL
P61769	B2M
Q14344	GNA13
P60842	EIF4A1
Q9NTG7	SIRT3
P00492	HPRT1
Q96L92	SNX27
O00203	AP3B1
Q9BXW7	HDHD5
O00161	SNAP23
Q969G5	CAVIN3
Q16795	NDUFA9
P35232	PHB
P17252	PRKCA
B1AJZ9	FHAD1
P61981	YWHAG
Q9P2T1	GMPR2
P02144	MB
O14979	HNRNPDL
P15291	B4GALT1
Q13162	PRDX4
Q6PKG0	LARP1
P10644	PRKAR1A
P62877	RBX1
O75110	ATP9A
Q9NZI5	GRHL1
P56537	EIF6
P09669	COX6C
P49411	TUFM
P06132	UROD
P02747	C1QC
P30520	ADSS2
P17844	DDX5
Q9Y230	RUVBL2
Q9BWX5	GATA5
P55884	EIF3B
P26583	HMGB2
Q02127	DHODH
O95822	MLYCD
P30622	CLIP1
P05023	ATP1A1
Q9BY44	EIF2A
P67809	YBX1
P06737	PYGL
O15143	ARPC1B
Q96DG6	CMBL
P62820	RAB1A
Q99807	COQ7
Q8N3K9	CMYA5
P23528	CFL1
Q8WUH6	TMEM263
P00367	GLUD1
P04207	IGKV3-15
Q9Y6R1	SLC4A4
Q03519	TAP2
Q9ULH7	MRTFB
P02654	APOC1
P35606	COPB2
Q96C23	GALM
Q6GMV3	PTRHD1
P84085	ARF5
Q93050	ATP6V0A1
Q7Z7H5	TMED4
O75525	KHDRBS3
Q16851	UGP2
O95202	LETM1
Q96KP1	EXOC2
P02655	APOC2
P56385	ATP5ME
P25311	AZGP1
P78347	GTF2I
P50995	ANXA11
Q9UKF6	CPSF3
P36542	ATP5F1C
P05362	ICAM1
Q9UPQ9	TNRC6B
Q9C0J9	BHLHE41
Q5T7N2	L1TD1
O43776	NARS1
P52907	CAPZA1
O75489	NDUFS3
P19525	EIF2AK2
Q9UKK9	NUDT5
Q9BRF8	CPPED1
Q9H061	TMEM126A
Q9UL46	PSME2
Q92597	NDRG1
Q9UBX3	SLC25A10
Q9H1C7	CYSTM1
P34932	HSPA4
Q13113	PDZK1IP1
Q8IVH4	MMAA
P04233	CD74
Q9BWM7	SFXN3
P08727	KRT19
P02768	ALB
P12270	TPR
Q9H0N5	PCBD2
Q13510	ASAH1
P19440	GGT1
Q15257	PTPA
Q9UHD9	UBQLN2
P26447	S100A4
P23141	CES1
O00442	RTCA
O76074	PDE5A
Q96NB2	SFXN2
Q15911	ZFHX3
Q969E2	SCAMP4
P16662	UGT2B7
P48556	PSMD8
P55209	NAP1L1
Q13131	PRKAA1
P04216	THY1
O15305	PMM2
Q07955	SRSF1
Q14106	TOB2
Q9UNF0	PACSIN2
Q15819	UBE2V2
O60469	DSCAM
O95817	BAG3
O95674	CDS2
Q9H910	JPT2
O75356	ENTPD5
Q13630	GFUS
Q02818	NUCB1
O00560	SDCBP
P54920	NAPA
Q9H0U4	RAB1B
O14936	CASK
O95352	ATG7
P51688	SGSH
Q7Z3J2	VPS35L
O14787	TNPO2
Q9UKS6	PACSIN3
O75643	SNRNP200
P54687	BCAT1
Q9Y2R9	MRPS7
Q14151	SAFB2
P21926	CD9
Q9P0L0	VAPA
Q16718	NDUFA5
Q15691	MAPRE1
O14579	COPE
Q9UJC5	SH3BGRL2
P28676	GCA
P15559	NQO1
Q13148	TARDBP
P02462	COL4A1
Q13469	NFATC2
P23526	AHCY
O43295	SRGAP3
Q9UM22	EPDR1
Q53HC9	EIPR1
Q99538	LGMN
P02730	SLC4A1
Q9UBV8	PEF1
Q9H832	UBE2Z
P30050	RPL12
P68402	PAFAH1B2
P43490	NAMPT
P41222	PTGDS
Q01658	DR1
Q9UHD2	TBK1
P38646	HSPA9
O14737	PDCD5
O15173	PGRMC2
Q8NBF2	NHLRC2
O00763	ACACB
Q9NUB1	ACSS1
Q14498	RBM39
P30049	ATP5F1D
O75494	SRSF10
Q9BUT1	BDH2
O60234	GMFG
Q86U28	ISCA2
Q92542	NCSTN
Q9BWW8	APOL6
Q7L1Q6	BZW1
P35251	RFC1
P11166	SLC2A1
Q15293	RCN1
O95298	NDUFC2
O15229	KMO
Q16836	HADH
P57088	TMEM33
O60888	CUTA
Q92841	DDX17
P34949	MPI
P46063	RECQL
P09211	GSTP1
Q9Y276	BCS1L
Q15555	MAPRE2
Q9NPJ3	ACOT13
Q9HDC9	APMAP
P08758	ANXA5
Q6UVK1	CSPG4
Q99424	ACOX2
P51665	PSMD7
P23246	SFPQ
Q96T51	RUFY1
P01042	KNG1
P25685	DNAJB1
Q9NP72	RAB18
Q5XKP0	MICOS13
Q13838	DDX39B
P42025	ACTR1B
Q9UKM9	RALY
O60884	DNAJA2
Q9BXD5	NPL
P62745	RHOB
Q5T6V5	C9orf64
Q99459	CDC5L
Q96C19	EFHD2
Q15404	RSU1
P22061	PCMT1
Q8ND30	PPFIBP2
Q13825	AUH
P11177	PDHB
Q9BX68	HINT2
Q8TCT9	HM13
Q99747	NAPG
Q9NQR4	NIT2
P07196	NEFL
Q8WTV0	SCARB1
Q5QP74	C10orf67
O75964	ATP5MG
P17152	TMEM11
P12429	ANXA3
Q96CD0	FBXL8
P07686	HEXB
Q15286	RAB35
Q01469	FABP5
P07203	GPX1
Q32MZ4	LRRFIP1
P62304	SNRPE
Q9Y2Q3	GSTK1
P52815	MRPL12
P50053	KHK
Q9BTM9	URM1
Q8NEZ5	FBXO22
O43747	AP1G1
Q13151	HNRNPA0
P30047	GCHFR
Q96GK7	FAHD2A
P61421	ATP6V0D1
Q16890	TPD52L1
Q9BYE9	CDHR2
P15311	EZR
P02649	APOE
O75936	BBOX1
Q9NPB9	ACKR4
Q9BVA1	TUBB2B
Q8N4H5	TOMM5
P23946	CMA1
Q9Y2Z9	COQ6
P47895	ALDH1A3
P55081	MFAP1
P14550	AKR1A1
P43487	RANBP1
P51970	NDUFA8
Q53GG5	PDLIM3
P07305	H1-0
P09972	ALDOC
P05165	PCCA
Q8WZA2	RAPGEF4
Q92734	TFG
O75475	PSIP1
P34913	EPHX2
P08579	SNRPB2
P46940	IQGAP1
Q9H0D6	XRN2
Q8N142	ADSS1
Q15006	EMC2
P25789	PSMA4
P62899	RPL31
Q9NQH7	XPNPEP3
P06744	GPI
P19224	UGT1A6
P14625	HSP90B1
P27487	DPP4
P25788	PSMA3
Q9UGI8	TES
P04844	RPN2
Q96NG3	ODAD4
O00533	CHL1
P22087	FBL
P48449	LSS
Q12906	ILF3
Q9UJ68	MSRA
P61009	SPCS3
P49903	SEPHS1
O43390	HNRNPR
Q9GZS3	WDR61
P01598	IGKV1-5
Q8IWW8	ADHFE1
P49748	ACADVL
Q96IZ0	PAWR
P61160	ACTR2
Q9BYD3	MRPL4
Q9H078	CLPB
Q9BXK5	BCL2L13
P54578	USP14
P08603	CFH
Q96PU8	QKI
A0MZ66	SHTN1
P19404	NDUFV2
Q9Y5J6	TIMM10B
P60228	EIF3E
P27449	ATP6V0C
P06730	EIF4E
Q8NE86	MCU
Q9Y5Y6	ST14
Q15833	STXBP2
P62857	RPS28
P16422	EPCAM
P02786	TFRC
Q9Y584	TIMM22
Q27J81	INF2
P43243	MATR3
Q9C040	TRIM2
Q92538	GBF1
P0C0L4	C4A
Q9NZL4	HSPBP1
Q9Y597	KCTD3
Q96EY7	PTCD3
P24821	TNC
Q9Y6Y8	SEC23IP
O95865	DDAH2
Q9BXX0	EMILIN2
Q8N5M1	ATPAF2
Q9HC38	GLOD4
Q13217	DNAJC3
Q13185	CBX3
Q9UPN3	MACF1
P67775	PPP2CA
Q70UQ0	IKBIP
Q9BZF9	UACA
P18754	RCC1
P52594	AGFG1
O95831	AIFM1
P15104	GLUL
P05413	FABP3
Q9BRQ6	CHCHD6
Q9NRV9	HEBP1
O60656	UGT1A9
Q5HYI8	RABL3
Q15717	ELAVL1
P32969	RPL9
P32969	RPL9P7
P32969	RPL9P8
P32969	RPL9P9
P28062	PSMB8
Q14008	CKAP5
O94925	GLS
P02750	LRG1
P55290	CDH13
P07099	EPHX1
Q16864	ATP6V1F
P11940	PABPC1
Q14061	COX17
Q92552	MRPS27
Q9Y6K5	OAS3
Q9Y2T3	GDA
P19022	CDH2
Q13884	SNTB1
Q9BTZ2	DHRS4
P26440	IVD
P05090	APOD
Q9NQ50	MRPL40
Q14258	TRIM25
Q15036	SNX17
Q9H3P7	ACBD3
P62266	RPS23
P31942	HNRNPH3
P33151	CDH5
Q9BWD1	ACAT2
Q9UI08	EVL
P23919	DTYMK
P78344	EIF4G2
Q9H553	ALG2
Q9Y624	F11R
Q8IW45	NAXD
P35222	CTNNB1
Q9BSA4	TTYH2
O95786	DDX58
P01781	IGHV3-7
Q13561	DCTN2
Q99439	CNN2
Q969I3	GLYATL1
Q8NFD5	ARID1B
P48444	ARCN1
O75674	TOM1L1
O95222	OR6A2
Q99653	CHP1
Q99685	MGLL
Q9Y2R0	COA3
P22059	OSBP
Q14155	ARHGEF7
P46782	RPS5
Q96RP9	GFM1
Q00765	REEP5
P09525	ANXA4
P54619	PRKAG1
O75438	NDUFB1
P49247	RPIA
Q9NNW7	TXNRD2
P24539	ATP5PB
P49720	PSMB3
Q8NCW6	GALNT11
Q9Y5Z4	HEBP2
O60613	SELENOF
O95232	LUC7L3
Q15493	RGN
Q96EL3	MRPL53
O00217	NDUFS8
Q8N0X4	CLYBL
P49590	HARS2
P33992	MCM5
Q9BQG0	MYBBP1A
Q6JQN1	ACAD10
Q96F07	CYFIP2
P51648	ALDH3A2
Q02878	RPL6
Q13596	SNX1
P43155	CRAT
P19827	ITIH1
P33240	CSTF2
Q14019	COTL1
Q96BW5	PTER
P01619	IGKV3-20
Q9P2J5	LARS1
Q96PK6	RBM14
P48426	PIP4K2A
Q8ND07	BBOF1
P10109	FDX1
Q9NZ08	ERAP1
Q13084	MRPL28
O15400	STX7
P43897	TSFM
Q99729	HNRNPAB
Q9H477	RBKS
P31937	HIBADH
O76070	SNCG
P63173	RPL38
P61086	UBE2K
P31947	SFN
P04632	CAPNS1
P10636	MAPT
P12074	COX6A1
Q3LXA3	TKFC
P51398	DAP3
P41250	GARS1
Q86Y56	DNAAF5
Q9NPH2	ISYNA1
P24158	PRTN3
P30043	BLVRB
Q8N5N7	MRPL50
Q9Y2Z0	SUGT1
Q8IY17	PNPLA6
Q13976	PRKG1
Q9UHG3	PCYOX1
P62280	RPS11
P00738	HP
P78417	GSTO1
O75844	ZMPSTE24
P46776	RPL27A
P08236	GUSB
O75880	SCO1
P07384	CAPN1
P08397	HMBS
Q14956	GPNMB
Q13425	SNTB2
Q96QF0	RAB3IP
Q16587	ZNF74
O00264	PGRMC1
P55769	SNU13
Q86TI0	TBC1D1
Q9BXR0	QTRT1
Q9NSE4	IARS2
Q15031	LARS2
Q96T76	MMS19
Q9UQ90	SPG7
O14874	BCKDK
O43237	DYNC1LI2
P50148	GNAQ
P08575	PTPRC
P39210	MPV17
P07911	UMOD
P13671	C6
Q9BSH5	HDHD3
P09668	CTSH
Q9Y4G6	TLN2
Q13188	STK3
Q9H4G0	EPB41L1
Q9Y619	SLC25A15
Q9GZP8	IMUP
P23434	GCSH
O00479	HMGN4
Q96IX5	ATP5MK
O43708	GSTZ1
O75521	ECI2
P82664	MRPS10
P82933	MRPS9
O94903	PLPBP
Q9NSY0	NRBP2
Q15435	PPP1R7
P08865	RPSA
Q10567	AP1B1
O94826	TOMM70
P54802	NAGLU
O60902	SHOX2
P25398	RPS12
O95373	IPO7
Q8NC56	LEMD2
Q8WWY3	PRPF31
Q96M27	PRRC1
Q8TD55	PLEKHO2
P09914	IFIT1
P62913	RPL11
P20810	CAST
Q6UWR7	ENPP6
Q8WW52	FAM151A
P61225	RAP2B
P53992	SEC24C
P14314	PRKCSH
O00748	CES2
P23378	GLDC
Q96Q11	TRNT1
Q9Y281	CFL2
P05156	CFI
P26640	VARS1
O00469	PLOD2
Q15185	PTGES3
Q8NBF6	AVL9
P56556	NDUFA6
Q8WTS1	ABHD5
P09110	ACAA1
Q15327	ANKRD1
P36873	PPP1CC
Q9UHQ9	CYB5R1
P00352	ALDH1A1
P04406	GAPDH
P27635	RPL10
P55327	TPD52
O14975	SLC27A2
Q15582	TGFBI
P45954	ACADSB
Q92900	UPF1
O00754	MAN2B1
P07108	DBI
P11766	ADH5
P35813	PPM1A
P27105	STOM
P50570	DNM2
P12110	COL6A2
Q02928	CYP4A11
Q9Y6C9	MTCH2
Q9BW92	TARS2
P20774	OGN
P68371	TUBB4B
Q07866	KLC1
Q00839	HNRNPU
O15061	SYNM
Q9BQA1	WDR77
Q9NQW7	XPNPEP1
Q92665	MRPS31
P46109	CRKL
O14529	CUX2
Q93009	USP7
P56181	NDUFV3
Q96F10	SAT2
Q15027	ACAP1
P05546	SERPIND1
P26373	RPL13
Q00169	PITPNA
Q9Y237	PIN4
P05230	FGF1
Q05469	LIPE
P49419	ALDH7A1
O76038	SCGN
P50395	GDI2
P21283	ATP6V1C1
Q08257	CRYZ
P51161	FABP6
Q9H2A2	ALDH8A1
P13010	XRCC5
O95182	NDUFA7
P62241	RPS8
Q14573	ITPR3
Q99436	PSMB7
